,hr,casual,registered,cnt
0,0,3,13,16
1,1,8,32,40
2,2,5,27,32
3,3,3,10,13
4,4,0,1,1
5,5,0,1,1
6,6,2,0,2
7,7,1,2,3
8,8,1,7,8
9,9,8,6,14
10,10,12,24,36
11,11,26,30,56
12,12,29,55,84
13,13,47,47,94
14,14,35,71,106
15,15,40,70,110
16,16,41,52,93
17,17,15,52,67
18,18,9,26,35
19,19,6,31,37
20,20,11,25,36
21,21,3,31,34
22,22,11,17,28
23,23,15,24,39
24,0,4,13,17
25,1,1,16,17
26,2,1,8,9
27,3,2,4,6
28,4,2,1,3
29,6,0,2,2
30,7,0,1,1
31,8,0,8,8
32,9,1,19,20
33,10,7,46,53
34,11,16,54,70
35,12,20,73,93
36,13,11,64,75
37,14,4,55,59
38,15,19,55,74
39,16,9,67,76
40,17,7,58,65
41,18,10,43,53
42,19,1,29,30
43,20,5,17,22
44,21,11,20,31
45,22,0,9,9
46,23,0,8,8
47,0,0,5,5
48,1,0,2,2
49,4,0,1,1
50,5,0,3,3
51,6,0,30,30
52,7,1,63,64
53,8,1,153,154
54,9,7,81,88
55,10,11,33,44
56,11,10,41,51
57,12,13,48,61
58,13,8,53,61
59,14,11,66,77
60,15,14,58,72
61,16,9,67,76
62,17,11,146,157
63,18,9,148,157
64,19,8,102,110
65,20,3,49,52
66,21,3,49,52
67,22,0,20,20
68,23,1,11,12
69,0,0,5,5
70,1,0,2,2
71,2,0,1,1
72,4,0,2,2
73,5,0,4,4
74,6,0,36,36
75,7,2,92,94
76,8,2,177,179
77,9,2,98,100
78,10,5,37,42
79,11,7,50,57
80,12,12,66,78
81,13,18,79,97
82,14,9,54,63
83,15,17,48,65
84,16,15,68,83
85,17,10,202,212
86,18,3,179,182
87,19,2,110,112
88,20,1,53,54
89,21,0,48,48
90,22,1,34,35
91,23,2,9,11
92,0,0,6,6
93,1,0,6,6
94,2,0,2,2
95,4,0,2,2
96,5,0,3,3
97,6,0,33,33
98,7,1,87,88
99,8,3,192,195
100,9,6,109,115
101,10,4,53,57
102,11,12,34,46
103,12,5,74,79
104,13,6,65,71
105,14,10,52,62
106,15,7,55,62
107,16,4,85,89
108,17,4,186,190
109,18,3,166,169
110,19,5,127,132
111,20,7,82,89
112,21,3,40,43
113,22,1,41,42
114,23,1,18,19
115,0,0,11,11
116,1,0,4,4
117,2,0,2,2
118,4,0,1,1
119,5,0,4,4
120,6,0,36,36
121,7,0,95,95
122,8,3,216,219
123,9,6,116,122
124,10,3,42,45
125,11,2,57,59
126,12,6,78,84
127,13,12,55,67
128,14,11,59,70
129,15,8,54,62
130,16,12,74,86
131,17,9,163,172
132,18,5,158,163
133,19,3,109,112
134,20,3,66,69
135,21,0,48,48
136,22,1,51,52
137,23,4,19,23
138,0,4,13,17
139,1,2,5,7
140,2,0,1,1
141,4,0,1,1
142,5,0,5,5
143,6,8,26,34
144,7,8,76,84
145,8,20,190,210
146,9,9,125,134
147,10,16,47,63
148,11,19,48,67
149,12,9,50,59
150,13,9,64,73
151,14,7,43,50
152,15,9,63,72
153,16,5,82,87
154,17,9,178,187
155,18,7,116,123
156,19,3,92,95
157,20,1,50,51
158,21,0,39,39
159,22,2,34,36
160,23,1,14,15
161,0,1,24,25
162,1,1,15,16
163,2,3,13,16
164,3,0,7,7
165,4,0,1,1
166,5,0,5,5
167,6,0,2,2
168,7,1,8,9
169,8,0,15,15
170,9,0,20,20
171,10,5,56,61
172,11,2,60,62
173,12,8,90,98
174,13,7,95,102
175,14,12,83,95
176,15,5,69,74
177,16,8,68,76
178,17,5,64,69
179,18,3,52,55
180,19,4,26,30
181,20,0,28,28
182,21,2,35,37
183,22,1,33,34
184,23,0,22,22
185,0,1,24,25
186,1,0,12,12
187,2,0,11,11
188,3,0,4,4
189,4,0,1,1
190,5,0,1,1
191,6,0,1,1
192,7,1,5,6
193,8,0,10,10
194,9,0,19,19
195,10,0,49,49
196,11,2,47,49
197,12,4,79,83
198,13,6,69,75
199,14,8,64,72
200,15,5,77,82
201,16,13,79,92
202,17,3,59,62
203,18,4,44,48
204,19,1,40,41
205,20,0,38,38
206,21,1,19,20
207,22,5,10,15
208,23,0,6,6
209,0,2,3,5
210,1,1,0,1
211,2,0,3,3
212,3,0,1,1
213,4,1,2,3
214,5,0,3,3
215,6,0,31,31
216,7,2,75,77
217,8,4,184,188
218,9,2,92,94
219,10,0,31,31
220,11,2,28,30
221,12,5,47,52
222,13,4,50,54
223,14,0,47,47
224,15,2,43,45
225,16,4,70,74
226,17,4,174,178
227,18,1,154,155
228,19,3,92,95
229,20,1,73,74
230,21,1,37,38
231,22,2,22,24
232,23,0,18,18
233,0,2,10,12
234,1,0,3,3
235,2,0,3,3
236,5,0,6,6
237,6,0,27,27
238,7,2,97,99
239,8,3,214,217
240,9,3,127,130
241,10,3,51,54
242,11,4,31,35
243,12,2,55,57
244,13,6,46,52
245,14,3,60,63
246,15,2,45,47
247,16,4,72,76
248,17,6,130,136
249,18,1,94,95
250,19,0,51,51
251,20,0,32,32
252,21,0,20,20
253,22,1,28,29
254,23,1,18,19
255,0,0,7,7
256,1,0,6,6
257,2,0,1,1
258,5,0,5,5
259,6,0,16,16
260,7,0,54,54
261,8,3,125,128
262,9,3,78,81
263,10,0,39,39
264,11,3,32,35
265,12,3,52,55
266,13,0,49,49
267,14,0,44,44
268,15,1,48,49
269,16,5,63,68
270,17,0,139,139
271,18,2,135,137
272,19,1,82,83
273,20,2,54,56
274,21,0,57,57
275,22,1,32,33
276,23,1,19,20
277,0,1,6,7
278,1,0,2,2
279,2,0,2,2
280,3,0,3,3
281,4,0,4,4
282,5,0,3,3
283,6,0,28,28
284,7,0,72,72
285,8,5,197,202
286,9,2,137,139
287,10,2,36,38
288,11,4,33,37
289,12,3,49,52
290,13,2,81,83
291,14,3,39,42
292,15,5,55,60
293,16,2,76,78
294,17,4,158,162
295,18,3,141,144
296,19,1,98,99
297,20,0,64,64
298,21,0,40,40
299,22,0,30,30
300,23,1,14,15
301,0,0,14,14
302,1,0,5,5
303,2,0,1,1
304,3,0,1,1
305,5,0,8,8
306,6,0,17,17
307,7,0,70,70
308,8,2,156,158
309,9,0,117,117
310,10,4,40,44
311,11,6,47,53
312,12,2,59,61
313,13,4,73,77
314,14,5,59,64
315,15,9,59,68
316,16,3,87,90
317,17,4,155,159
318,18,5,134,139
319,19,3,89,92
320,20,0,68,68
321,21,4,48,52
322,22,2,34,36
323,23,1,26,27
324,0,3,25,28
325,1,2,18,20
326,2,0,12,12
327,3,1,7,8
328,4,0,5,5
329,5,0,1,1
330,6,1,2,3
331,7,1,9,10
332,8,1,22,23
333,9,2,31,33
334,10,2,57,59
335,11,18,54,72
336,12,15,74,89
337,13,21,80,101
338,14,26,92,118
339,15,21,108,129
340,16,33,95,128
341,17,29,54,83
342,18,15,69,84
343,19,14,60,74
344,20,6,35,41
345,21,6,51,57
346,22,0,26,26
347,23,5,39,44
348,0,6,33,39
349,1,4,19,23
350,2,3,13,16
351,3,9,6,15
352,4,0,1,1
353,5,1,1,2
354,6,0,1,1
355,7,0,3,3
356,8,0,18,18
357,9,3,29,32
358,10,8,71,79
359,11,23,70,93
360,12,29,75,104
361,13,23,95,118
362,14,22,69,91
363,15,35,78,113
364,16,22,77,99
365,17,23,82,105
366,18,11,56,67
367,19,14,47,61
368,20,7,50,57
369,21,6,22,28
370,22,2,19,21
371,23,0,18,18
372,0,1,16,17
373,1,1,15,16
374,2,0,8,8
375,3,0,2,2
376,4,1,2,3
377,5,0,1,1
378,6,0,5,5
379,7,4,9,13
380,8,3,30,33
381,9,8,39,47
382,10,7,50,57
383,11,9,55,64
384,12,10,70,80
385,13,13,80,93
386,14,12,74,86
387,15,21,72,93
388,16,6,76,82
389,17,4,67,71
390,18,7,85,92
391,19,2,58,60
392,20,4,29,33
393,21,3,24,27
394,22,0,13,13
395,23,1,3,4
396,12,0,3,3
397,13,0,22,22
398,14,2,26,28
399,15,3,32,35
400,16,0,61,61
401,17,1,124,125
402,18,1,132,133
403,19,1,98,99
404,20,0,83,83
405,21,0,41,41
406,22,0,33,33
407,23,1,19,20
408,0,0,3,3
409,1,1,6,7
410,2,0,3,3
411,4,1,1,2
412,5,0,7,7
413,6,0,32,32
414,7,1,89,90
415,8,1,196,197
416,9,2,107,109
417,10,1,46,47
418,11,5,47,52
419,12,5,65,70
420,13,11,67,78
421,14,7,68,75
422,15,4,78,82
423,16,10,94,104
424,17,7,190,197
425,18,5,156,161
426,19,4,108,112
427,20,2,74,76
428,21,4,55,59
429,22,6,53,59
430,23,1,27,28
431,0,5,8,13
432,1,2,3,5
433,2,0,2,2
434,3,0,1,1
435,4,0,1,1
436,5,0,6,6
437,6,0,35,35
438,7,1,100,101
439,8,2,247,249
440,9,3,140,143
441,10,1,56,57
442,11,5,63,68
443,12,7,77,84
444,13,12,86,98
445,14,6,75,81
446,15,8,62,70
447,16,8,83,91
448,17,8,207,215
449,18,1,184,185
450,19,6,146,152
451,20,2,124,126
452,21,3,54,57
453,22,0,56,56
454,23,3,28,31
455,0,1,20,21
456,1,0,6,6
457,2,0,2,2
458,3,0,1,1
459,4,0,1,1
460,5,1,4,5
461,6,0,27,27
462,7,2,66,68
463,8,7,210,217
464,9,7,159,166
465,10,6,57,63
466,11,6,53,59
467,12,11,67,78
468,13,8,65,73
469,14,6,56,62
470,15,4,61,65
471,16,0,97,97
472,17,10,151,161
473,18,1,119,120
474,19,3,93,96
475,20,1,52,53
476,21,0,41,41
477,22,1,33,34
478,23,0,27,27
479,0,0,13,13
480,1,3,9,12
481,2,0,11,11
482,3,1,6,7
483,4,0,3,3
484,6,0,2,2
485,7,0,8,8
486,8,1,26,27
487,9,3,37,40
488,10,3,50,53
489,11,4,59,63
490,12,10,60,70
491,13,12,72,84
492,14,11,64,75
493,15,10,93,103
494,16,11,72,83
495,17,8,59,67
496,18,0,54,54
497,19,6,53,59
498,20,1,44,45
499,21,0,39,39
500,22,7,23,30
501,23,2,31,33
502,0,2,20,22
503,1,1,12,13
504,2,3,15,18
505,3,1,4,5
506,5,0,3,3
507,6,0,1,1
508,7,1,1,2
509,8,2,17,19
510,9,3,25,28
511,10,7,51,58
512,11,22,77,99
513,12,24,92,116
514,13,12,75,87
515,14,17,93,110
516,15,13,64,77
517,16,9,56,65
518,17,5,50,55
519,18,5,44,49
520,19,5,45,50
521,20,4,31,35
522,21,5,20,25
523,22,5,23,28
524,23,4,17,21
525,0,0,7,7
526,1,0,1,1
527,3,0,1,1
528,4,0,1,1
529,5,0,5,5
530,6,0,15,15
531,7,5,79,84
532,8,6,171,177
533,9,4,98,102
534,10,6,34,40
535,11,3,43,46
536,12,11,52,63
537,13,6,54,60
538,14,2,43,45
539,15,7,50,57
540,16,4,66,70
541,17,6,178,184
542,18,8,145,153
543,19,5,101,106
544,20,1,80,81
545,21,6,53,59
546,22,3,32,35
547,23,3,21,24
548,0,3,6,9
549,1,0,5,5
550,2,0,2,2
551,4,0,1,1
552,5,0,9,9
553,6,1,35,36
554,7,5,103,108
555,8,5,233,238
556,9,10,134,144
557,10,6,49,55
558,11,6,55,61
559,12,21,85,106
560,13,21,72,93
561,14,11,57,68
562,15,21,63,84
563,16,14,102,116
564,17,14,208,222
565,18,7,218,225
566,19,13,133,146
567,20,16,103,119
568,21,5,40,45
569,22,4,49,53
570,23,3,37,40
571,0,3,14,17
572,1,0,5,5
573,2,3,7,10
574,5,0,1,1
575,6,0,8,8
576,7,1,29,30
577,8,3,69,72
578,9,3,55,58
579,10,2,26,28
580,11,6,35,41
581,12,7,41,48
582,13,4,43,47
583,14,0,36,36
584,15,1,42,43
585,16,1,35,36
586,17,0,26,26
587,16,1,23,24
588,17,2,82,84
589,18,3,101,104
590,19,3,76,79
591,20,4,55,59
592,21,2,36,38
593,22,0,27,27
594,23,0,16,16
595,0,0,9,9
596,1,1,2,3
597,2,0,2,2
598,3,1,0,1
599,5,0,4,4
600,6,0,16,16
601,7,2,58,60
602,8,2,155,157
603,9,6,95,101
604,10,0,49,49
605,11,0,30,30
606,12,1,28,29
607,13,0,31,31
608,14,2,36,38
609,15,1,40,41
610,16,10,70,80
611,17,2,147,149
612,18,2,107,109
613,19,5,84,89
614,20,1,61,62
615,21,1,57,58
616,22,0,26,26
617,23,1,22,23
618,0,2,26,28
619,1,0,20,20
620,2,0,15,15
621,3,3,5,8
622,4,1,2,3
623,6,0,2,2
624,7,1,4,5
625,8,3,31,34
626,9,0,34,34
627,10,4,51,55
628,11,4,60,64
629,12,12,66,78
630,13,9,56,65
631,14,10,89,99
632,15,22,98,120
633,16,19,88,107
634,17,9,82,91
635,18,9,59,68
636,19,6,52,58
637,20,1,42,43
638,21,1,35,36
639,22,4,28,32
640,23,3,30,33
641,0,0,33,33
642,1,7,22,29
643,2,1,10,11
644,3,1,7,8
645,4,0,1,1
646,5,0,3,3
647,7,0,3,3
648,8,1,11,12
649,9,4,34,38
650,10,7,57,64
651,11,9,50,59
652,12,10,87,97
653,13,13,71,84
654,14,18,104,122
655,15,14,95,109
656,16,19,104,123
657,17,6,71,77
658,18,8,57,65
659,19,9,46,55
660,20,3,30,33
661,21,3,25,28
662,22,2,19,21
663,23,5,16,21
664,0,1,6,7
665,1,2,5,7
666,2,0,1,1
667,3,0,2,2
668,4,0,2,2
669,5,0,8,8
670,6,0,37,37
671,7,1,71,72
672,8,3,182,185
673,9,0,112,112
674,10,1,68,69
675,11,2,46,48
676,12,6,62,68
677,13,2,52,54
678,14,1,85,86
679,15,3,41,44
680,16,3,83,86
681,17,6,155,161
682,18,3,153,156
683,19,3,108,111
684,20,0,78,78
685,21,3,53,56
686,22,0,34,34
687,23,2,15,17
688,0,2,6,8
689,1,0,3,3
690,2,0,2,2
691,3,0,2,2
692,5,0,3,3
693,6,0,22,22
694,7,0,52,52
695,8,3,132,135
696,9,2,114,116
697,10,0,47,47
698,11,2,49,51
699,12,2,53,55
700,13,3,49,52
701,14,5,49,54
702,15,7,45,52
703,16,3,61,64
704,17,4,172,176
705,18,3,165,168
706,19,3,105,108
707,20,5,69,74
708,21,0,64,64
709,22,2,34,36
710,23,1,15,16
711,0,0,2,2
712,1,0,3,3
713,2,4,0,4
714,3,0,1,1
715,4,0,1,1
716,5,0,3,3
717,6,1,17,18
718,7,1,48,49
719,8,1,154,155
720,9,4,119,123
721,10,2,59,61
722,11,5,47,52
723,12,3,61,64
724,13,1,74,75
725,14,2,61,63
726,15,10,66,76
727,16,8,95,103
728,17,7,183,190
729,18,7,175,182
730,19,3,88,91
731,20,4,71,75
732,21,1,62,63
733,22,5,35,40
734,23,3,29,32
735,0,1,11,12
736,1,0,5,5
737,2,0,2,2
738,3,0,1,1
739,5,0,2,2
740,6,0,39,39
741,7,1,86,87
742,8,4,184,188
743,9,6,127,133
744,10,2,50,52
745,11,9,55,64
746,12,2,67,69
747,13,4,47,51
748,14,4,43,47
749,15,4,56,60
750,16,5,73,78
751,17,5,170,175
752,18,2,145,147
753,19,4,92,96
754,20,1,108,109
755,21,1,53,54
756,22,2,39,41
757,23,4,34,38
758,0,3,10,13
759,1,0,7,7
760,2,0,1,1
761,3,0,1,1
762,5,0,7,7
763,6,2,26,28
764,7,0,87,87
765,8,3,217,220
766,9,3,124,127
767,10,5,46,51
768,11,3,61,64
769,12,8,78,86
770,13,9,73,82
771,14,15,76,91
772,15,9,81,90
773,16,8,91,99
774,17,10,195,205
775,18,3,152,155
776,19,1,102,103
777,20,2,69,71
778,21,2,41,43
779,22,1,45,46
780,23,1,30,31
781,0,3,36,39
782,1,1,17,18
783,2,5,12,17
784,3,1,10,11
785,4,0,8,8
786,5,0,9,9
787,6,0,4,4
788,7,0,4,4
789,8,0,10,10
790,9,3,17,20
791,10,3,31,34
792,11,1,46,47
793,12,10,42,52
794,13,10,62,72
795,14,5,50,55
796,15,11,49,60
797,16,8,63,71
798,17,14,64,78
799,18,2,81,83
800,19,6,78,84
801,20,5,64,69
802,21,3,53,56
803,22,2,43,45
804,23,7,52,59
805,0,2,37,39
806,1,4,40,44
807,2,0,20,20
808,3,3,10,13
809,4,0,2,2
810,5,0,1,1
811,6,0,1,1
812,7,0,8,8
813,8,2,21,23
814,9,7,38,45
815,10,15,74,89
816,11,28,89,117
817,12,48,126,174
818,13,47,135,182
819,14,47,114,161
820,15,52,130,182
821,16,42,115,157
822,17,24,97,121
823,18,13,65,78
824,19,1,20,21
825,20,5,21,26
826,21,5,22,27
827,22,5,57,62
828,23,4,26,30
829,0,1,14,15
830,1,1,4,5
831,2,0,3,3
832,3,0,1,1
833,4,1,1,2
834,5,1,9,10
835,6,1,29,30
836,7,6,89,95
837,8,7,223,230
838,9,3,115,118
839,10,6,49,55
840,11,11,36,47
841,12,7,59,66
842,13,10,54,64
843,14,8,52,60
844,15,4,46,50
845,16,16,98,114
846,17,9,207,216
847,18,5,170,175
848,19,5,123,128
849,20,6,82,88
850,21,3,75,78
851,22,3,34,37
852,23,6,19,25
853,0,4,6,10
854,1,0,4,4
855,2,1,1,2
856,3,0,1,1
857,4,0,3,3
858,5,0,2,2
859,6,0,39,39
860,7,3,97,100
861,8,7,236,243
862,9,7,128,135
863,10,4,44,48
864,11,1,49,50
865,12,2,63,65
866,13,2,48,50
867,14,3,61,64
868,15,6,45,51
869,16,4,79,83
870,17,4,172,176
871,18,1,151,152
872,19,1,100,101
873,20,3,53,56
874,21,8,46,54
875,22,0,29,29
876,23,3,9,12
877,0,0,17,17
878,1,0,7,7
879,2,1,2,3
880,3,0,2,2
881,5,0,7,7
882,6,0,43,43
883,7,4,95,99
884,8,1,198,199
885,9,4,119,123
886,10,8,51,59
887,11,1,40,41
888,12,4,57,61
889,13,2,67,69
890,14,2,56,58
891,15,3,61,64
892,16,7,72,79
893,17,9,157,166
894,18,2,168,170
895,19,1,87,88
896,20,0,84,84
897,21,0,83,83
898,22,4,42,46
899,23,0,37,37
900,0,0,16,16
901,1,0,7,7
902,2,0,3,3
903,4,0,1,1
904,5,0,6,6
905,6,0,26,26
906,7,0,99,99
907,8,5,173,178
908,9,1,121,122
909,10,1,34,35
910,11,1,44,45
911,12,4,65,69
912,13,3,59,62
913,14,6,42,48
914,15,0,50,50
915,16,4,76,80
916,17,6,159,165
917,18,3,157,160
918,19,2,110,112
919,20,4,93,97
920,21,2,70,72
921,22,4,47,51
922,23,1,33,34
923,0,2,12,14
924,1,1,6,7
925,2,0,3,3
926,5,0,4,4
927,6,1,23,24
928,7,1,73,74
929,8,4,212,216
930,9,8,132,140
931,10,5,39,44
932,11,12,52,64
933,12,7,64,71
934,13,21,89,110
935,14,17,67,84
936,15,12,62,74
937,16,14,111,125
938,17,18,193,211
939,18,9,165,174
940,19,7,94,101
941,20,2,61,63
942,21,1,46,47
943,22,2,41,43
944,23,5,48,53
945,0,3,27,30
946,1,2,22,24
947,2,2,13,15
948,3,3,7,10
949,4,0,4,4
950,5,0,1,1
951,6,1,1,2
952,7,2,9,11
953,8,2,28,30
954,9,5,38,43
955,10,13,71,84
956,11,30,84,114
957,12,27,93,120
958,13,32,103,135
959,14,30,90,120
960,15,47,127,174
961,16,42,103,145
962,17,24,113,137
963,18,4,60,64
964,19,2,39,41
965,20,1,39,40
966,21,9,42,51
967,22,6,39,45
968,23,1,31,32
969,0,5,34,39
970,1,1,23,24
971,2,1,19,20
972,3,4,8,12
973,4,0,2,2
974,6,2,3,5
975,7,0,3,3
976,8,1,11,12
977,9,12,35,47
978,10,19,86,105
979,11,26,86,112
980,12,58,94,152
981,13,62,92,154
982,14,51,110,161
983,15,40,122,162
984,16,28,106,134
985,17,30,95,125
986,18,17,78,95
987,19,11,50,61
988,20,15,32,47
989,21,6,45,51
990,22,5,31,36
991,23,3,27,30
992,0,3,8,11
993,1,1,6,7
994,2,0,2,2
995,3,1,1,2
996,4,0,2,2
997,5,0,3,3
998,6,1,25,26
999,7,2,96,98
1000,8,7,249,256
1001,9,8,122,130
1002,10,9,46,55
1003,11,10,43,53
1004,12,27,99,126
1005,13,27,93,120
1006,14,14,76,90
1007,15,19,71,90
1008,16,16,102,118
1009,17,25,218,243
1010,18,11,194,205
1011,19,12,86,98
1012,20,5,65,70
1013,21,8,35,43
1014,22,1,44,45
1015,23,1,19,20
1016,0,7,12,19
1017,1,0,5,5
1018,2,1,2,3
1019,4,0,1,1
1020,5,0,4,4
1021,6,0,30,30
1022,7,2,103,105
1023,8,10,213,223
1024,9,2,108,110
1025,10,5,47,52
1026,11,11,46,57
1027,12,6,65,71
1028,13,14,68,82
1029,14,10,69,79
1030,15,11,74,85
1031,16,21,77,98
1032,17,15,191,206
1033,18,14,198,212
1034,19,3,142,145
1035,20,3,98,101
1036,21,5,61,66
1037,22,0,41,41
1038,23,0,20,20
1039,0,0,15,15
1040,1,0,9,9
1041,3,0,1,1
1042,4,0,1,1
1043,5,0,5,5
1044,6,1,32,33
1045,7,5,103,108
1046,8,6,224,230
1047,9,2,122,124
1048,10,14,55,69
1049,11,7,59,66
1050,12,14,72,86
1051,13,13,80,93
1052,14,17,65,82
1053,15,35,82,117
1054,16,26,96,122
1055,17,11,244,255
1056,18,20,202,222
1057,19,18,143,161
1058,20,10,108,118
1059,21,5,87,92
1060,22,12,61,73
1061,23,2,31,33
1062,0,1,16,17
1063,1,0,6,6
1064,2,2,4,6
1065,3,3,1,4
1066,4,3,1,4
1067,5,1,11,12
1068,6,3,44,47
1069,7,7,119,126
1070,8,18,267,285
1071,9,16,163,179
1072,10,18,70,88
1073,11,19,71,90
1074,12,15,86,101
1075,13,15,108,123
1076,14,26,55,81
1077,15,15,91,106
1078,16,29,117,146
1079,17,18,256,274
1080,18,11,211,222
1081,19,14,161,175
1082,20,8,131,139
1083,21,5,119,124
1084,22,8,68,76
1085,23,4,40,44
1086,0,12,20,32
1087,1,1,7,8
1088,2,2,5,7
1089,3,2,6,8
1090,4,0,1,1
1091,5,1,6,7
1092,6,2,48,50
1093,7,8,108,116
1094,8,26,246,272
1095,9,15,154,169
1096,10,17,78,95
1097,11,31,82,113
1098,12,59,126,185
1099,13,45,131,176
1100,14,73,118,191
1101,15,55,117,172
1102,16,68,164,232
1103,17,52,275,327
1104,18,29,195,224
1105,19,16,146,162
1106,20,19,105,124
1107,21,11,61,72
1108,22,19,88,107
1109,23,16,61,77
1110,0,6,23,29
1111,1,10,21,31
1112,2,3,14,17
1113,3,0,7,7
1114,4,0,3,3
1115,5,0,3,3
1116,6,3,3,6
1117,7,6,16,22
1118,8,9,36,45
1119,9,18,37,55
1120,10,34,72,106
1121,11,47,76,123
1122,12,38,81,119
1123,13,52,103,155
1124,14,102,94,196
1125,15,84,87,171
1126,16,39,81,120
1127,17,36,91,127
1128,18,21,67,88
1129,19,5,54,59
1130,20,9,38,47
1131,21,4,29,33
1132,22,2,42,44
1133,23,4,25,29
1134,0,3,14,17
1135,1,5,11,16
1136,2,0,17,17
1137,3,9,9,18
1138,4,0,1,1
1139,6,1,1,2
1140,7,0,2,2
1141,8,2,22,24
1142,9,7,48,55
1143,10,34,70,104
1144,11,72,89,161
1145,12,62,120,182
1146,13,76,122,198
1147,14,108,104,212
1148,15,66,102,168
1149,16,59,88,147
1150,17,60,86,146
1151,18,30,71,101
1152,19,3,39,42
1153,20,12,30,42
1154,21,17,39,56
1155,22,4,43,47
1156,23,9,45,54
1157,0,7,30,37
1158,1,2,11,13
1159,2,1,3,4
1160,3,2,3,5
1161,4,1,0,1
1162,5,1,2,3
1163,6,2,6,8
1164,7,3,16,19
1165,8,7,56,63
1166,9,11,46,57
1167,10,29,52,81
1168,11,20,70,90
1169,12,26,67,93
1170,13,28,75,103
1171,14,15,101,116
1172,15,11,76,87
1173,16,8,48,56
1174,17,18,62,80
1175,18,2,64,66
1176,19,0,49,49
1177,20,0,29,29
1178,21,1,33,34
1179,22,0,11,11
1180,23,0,2,2
1181,6,0,7,7
1182,7,0,40,40
1183,8,7,107,114
1184,9,5,101,106
1185,10,0,44,44
1186,11,7,43,50
1187,12,7,48,55
1188,13,3,52,55
1189,14,9,49,58
1190,15,2,67,69
1191,16,7,79,86
1192,17,8,188,196
1193,18,6,161,167
1194,19,4,114,118
1195,20,3,102,105
1196,21,2,80,82
1197,22,1,76,77
1198,23,3,18,21
1199,0,0,6,6
1200,1,0,4,4
1201,2,0,1,1
1202,3,0,2,2
1203,5,0,8,8
1204,6,0,36,36
1205,7,2,94,96
1206,8,8,227,235
1207,9,9,130,139
1208,10,4,47,51
1209,11,16,53,69
1210,12,11,56,67
1211,13,9,78,87
1212,14,17,61,78
1213,15,18,54,72
1214,16,15,79,94
1215,17,15,207,222
1216,18,3,206,209
1217,19,6,135,141
1218,20,2,107,109
1219,21,2,89,91
1220,22,1,60,61
1221,23,1,38,39
1222,0,0,11,11
1223,1,0,7,7
1224,2,0,4,4
1225,3,0,2,2
1226,5,1,3,4
1227,6,0,58,58
1228,7,0,104,104
1229,8,8,244,252
1230,9,4,133,137
1231,10,8,49,57
1232,11,8,71,79
1233,12,10,85,95
1234,13,16,72,88
1235,14,2,67,69
1236,15,5,58,63
1237,16,4,67,71
1238,17,9,168,177
1239,18,5,132,137
1240,19,3,112,115
1241,20,2,87,89
1242,21,7,76,83
1243,22,5,50,55
1244,23,3,47,50
1245,0,1,8,9
1246,1,1,9,10
1247,2,0,3,3
1248,3,1,1,2
1249,5,1,5,6
1250,6,0,11,11
1251,7,1,34,35
1252,8,3,70,73
1253,9,3,111,114
1254,10,7,42,49
1255,11,9,50,59
1256,12,20,95,115
1257,13,6,77,83
1258,14,14,71,85
1259,15,5,50,55
1260,16,11,91,102
1261,17,8,181,189
1262,18,7,150,157
1263,19,4,86,90
1264,20,2,60,62
1265,21,7,56,63
1266,22,7,43,50
1267,23,2,37,39
1268,0,3,25,28
1269,1,2,25,27
1270,2,3,9,12
1271,3,1,7,8
1272,4,1,1,2
1273,5,1,9,10
1274,6,1,6,7
1275,7,1,21,22
1276,8,2,55,57
1277,9,9,65,74
1278,10,14,71,85
1279,11,26,100,126
1280,12,45,115,160
1281,13,38,136,174
1282,14,57,154,211
1283,15,40,125,165
1284,16,41,130,171
1285,17,53,130,183
1286,18,26,111,137
1287,19,30,64,94
1288,20,8,60,68
1289,21,9,59,68
1290,22,8,38,46
1291,23,5,29,34
1292,0,8,26,34
1293,1,7,30,37
1294,2,2,20,22
1295,3,3,8,11
1296,4,0,2,2
1297,6,2,1,3
1298,7,6,8,14
1299,8,9,26,35
1300,9,17,42,59
1301,10,24,79,103
1302,11,33,92,125
1303,12,61,132,193
1304,13,90,169,259
1305,14,105,177,282
1306,15,98,163,261
1307,16,98,170,268
1308,17,66,121,187
1309,18,24,103,127
1310,19,16,86,102
1311,20,9,72,81
1312,21,8,61,69
1313,22,2,67,69
1314,23,6,53,59
1315,0,5,25,30
1316,1,1,7,8
1317,3,0,1,1
1318,5,1,4,5
1319,6,1,27,28
1320,7,2,90,92
1321,8,13,242,255
1322,9,15,127,142
1323,10,13,79,92
1324,11,13,74,87
1325,12,0,36,36
1326,13,1,31,32
1327,14,1,24,25
1328,15,0,35,35
1329,16,2,40,42
1330,17,2,77,79
1331,18,4,127,131
1332,19,1,79,80
1333,20,0,45,45
1334,21,2,78,80
1335,22,4,72,76
1336,23,0,45,45
1337,0,0,7,7
1338,1,0,3,3
1339,2,0,4,4
1340,3,0,2,2
1341,4,0,1,1
1342,5,1,1,2
1343,6,0,46,46
1344,7,2,105,107
1345,8,10,204,214
1346,9,8,116,124
1347,10,13,55,68
1348,11,8,48,56
1349,12,6,80,86
1350,13,13,65,78
1351,14,18,61,79
1352,15,7,57,64
1353,16,10,92,102
1354,17,12,230,242
1355,18,10,214,224
