,hr,casual,registered,cnt
4910,12,35,151,186
4911,13,26,126,152
4912,14,27,111,138
4913,15,22,124,146
4914,16,42,214,256
4915,17,45,423,468
4916,18,55,428,483
4917,19,37,285,322
4918,20,41,229,270
4919,21,31,165,196
4920,22,25,149,174
4921,23,28,95,123
4922,0,12,45,57
4923,1,12,22,34
4924,2,3,10,13
4925,3,2,9,11
4926,4,2,4,6
4927,5,4,23,27
4928,6,7,83,90
4929,7,26,228,254
4930,8,30,354,384
4931,9,28,151,179
4932,10,37,69,106
4933,11,43,118,161
4934,12,40,95,135
4935,13,42,114,156
4936,14,34,114,148
4937,15,40,129,169
4938,16,35,198,233
4939,17,47,374,421
4940,18,49,313,362
4941,19,22,219,241
4942,20,53,153,206
4943,21,29,134,163
4944,22,47,127,174
4945,23,26,90,116
4946,0,60,73,133
4947,1,15,75,90
4948,2,11,31,42
4949,3,18,25,43
4950,4,4,6,10
4951,5,4,9,13
4952,6,6,18,24
4953,7,3,39,42
4954,8,27,87,114
4955,9,49,125,174
4956,10,79,182,261
4957,11,111,206,317
4958,12,111,230,341
4959,13,125,183,308
4960,14,112,193,305
4961,15,113,189,302
4962,16,126,176,302
4963,17,93,209,302
4964,18,92,207,299
4965,19,101,155,256
4966,20,74,132,206
4967,21,82,123,205
4968,22,80,129,209
4969,23,63,114,177
4970,0,33,80,113
4971,1,8,71,79
4972,2,19,48,67
4973,3,24,26,50
4974,4,6,7,13
4975,5,4,4,8
4976,6,5,8,13
4977,7,19,26,45
4978,8,54,88,142
4979,9,55,128,183
4980,10,91,163,254
4981,11,112,163,275
4982,12,146,192,338
4983,13,142,152,294
4984,14,130,196,326
4985,15,109,184,293
4986,16,98,208,306
4987,17,114,206,320
4988,18,91,213,304
4989,19,87,187,274
4990,20,70,205,275
4991,21,68,96,164
4992,22,25,71,96
4993,23,14,56,70
4994,0,7,22,29
4995,1,5,12,17
4996,2,4,7,11
4997,3,0,4,4
4998,4,2,2,4
4999,5,2,24,26
5000,6,3,97,100
5001,7,24,258,282
5002,8,35,347,382
5003,9,27,139,166
5004,10,27,70,97
5005,11,53,66,119
5006,12,53,115,168
5007,13,38,112,150
5008,14,37,86,123
5009,15,52,77,129
5010,16,34,197,231
5011,17,69,445,514
5012,18,68,475,543
5013,19,63,350,413
5014,20,49,256,305
5015,21,42,178,220
5016,22,21,116,137
5017,23,14,82,96
5018,0,11,18,29
5019,1,4,8,12
5020,2,2,6,8
5021,3,0,5,5
5022,4,0,10,10
5023,5,4,17,21
5024,6,12,105,117
5025,7,15,320,335
5026,8,37,398,435
5027,9,31,182,213
5028,10,50,90,140
5029,11,32,96,128
5030,12,45,112,157
5031,13,50,153,203
5032,14,45,114,159
5033,15,48,120,168
5034,16,58,216,274
5035,17,63,493,556
5036,18,65,491,556
5037,19,85,369,454
5038,20,40,248,288
5039,21,53,201,254
5040,22,22,169,191
5041,23,29,103,132
5042,0,11,32,43
5043,1,7,9,16
5044,2,2,9,11
5045,3,0,4,4
5046,4,0,7,7
5047,5,2,22,24
5048,6,9,101,110
5049,7,19,252,271
5050,8,29,408,437
5051,9,23,172,195
5052,10,9,59,68
5053,11,29,93,122
5054,12,19,142,161
5055,13,37,107,144
5056,14,43,104,147
5057,15,31,87,118
5058,16,21,129,150
5059,17,47,378,425
5060,18,49,443,492
5061,19,51,270,321
5062,20,7,80,87
5063,21,7,81,88
5064,22,11,66,77
5065,23,4,52,56
5066,0,2,15,17
5067,1,3,14,17
5068,2,2,5,7
5069,3,0,3,3
5070,4,0,7,7
5071,5,3,17,20
5072,6,7,90,97
5073,7,11,271,282
5074,8,29,369,398
5075,9,25,162,187
5076,10,24,89,113
5077,11,37,112,149
5078,12,53,152,205
5079,13,63,142,205
5080,14,53,114,167
5081,15,50,115,165
5082,16,70,220,290
5083,17,91,464,555
5084,18,88,435,523
5085,19,65,301,366
5086,20,41,245,286
5087,21,25,186,211
5088,22,33,141,174
5089,23,24,108,132
5090,0,13,41,54
5091,1,3,16,19
5092,2,5,14,19
5093,3,0,6,6
5094,4,1,6,7
5095,5,0,16,16
5096,6,7,94,101
5097,7,23,247,270
5098,8,39,415,454
5099,9,43,183,226
5100,10,50,113,163
5101,11,44,103,147
5102,12,57,159,216
5103,13,40,164,204
5104,14,81,164,245
5105,15,50,160,210
5106,16,76,254,330
5107,17,84,466,550
5108,18,105,361,466
5109,19,90,282,372
5110,20,70,221,291
5111,21,54,119,173
5112,22,51,137,188
5113,23,37,102,139
5114,0,29,104,133
5115,1,17,50,67
5116,2,14,39,53
5117,3,14,28,42
5118,4,5,5,10
5119,5,2,4,6
5120,6,5,22,27
5121,7,14,49,63
5122,8,27,94,121
5123,9,60,155,215
5124,10,91,199,290
5125,11,138,211,349
5126,12,130,252,382
5127,13,176,265,441
5128,14,176,204,380
5129,15,130,232,362
5130,16,155,188,343
5131,17,61,88,149
5132,18,81,130,211
5133,19,57,114,171
5134,20,58,79,137
5135,21,28,86,114
5136,22,24,96,120
5137,23,29,79,108
5138,0,14,66,80
5139,1,10,63,73
5140,2,18,48,66
5141,3,9,23,32
5142,4,1,5,6
5143,5,1,4,5
5144,6,3,10,13
5145,7,11,28,39
5146,8,23,66,89
5147,9,82,102,184
5148,10,88,178,266
5149,11,113,156,269
5150,12,161,209,370
5151,13,118,206,324
5152,14,130,192,322
5153,15,118,208,326
5154,16,74,119,193
5155,17,63,131,194
5156,18,74,155,229
5157,19,68,160,228
5158,20,50,133,183
5159,21,36,100,136
5160,22,21,82,103
5161,23,12,43,55
5162,0,13,17,30
5163,1,4,8,12
5164,2,4,3,7
5165,3,1,0,1
5166,4,2,8,10
5167,5,1,14,15
5168,6,8,87,95
5169,7,18,249,267
5170,8,29,320,349
5171,9,37,146,183
5172,10,62,62,124
5173,11,90,89,179
5174,12,48,134,182
5175,13,43,108,151
5176,14,41,109,150
5177,15,40,86,126
5178,16,64,218,282
5179,17,67,460,527
5180,18,64,465,529
5181,19,64,352,416
5182,20,71,215,286
5183,21,30,156,186
5184,22,26,121,147
5185,23,19,53,72
5186,0,10,25,35
5187,1,5,9,14
5188,2,9,3,12
5189,3,0,3,3
5190,4,1,6,7
5191,5,5,25,30
5192,6,6,95,101
5193,7,30,313,343
5194,8,40,352,392
5195,9,34,141,175
5196,10,55,89,144
5197,11,61,88,149
5198,12,60,125,185
5199,13,48,127,175
5200,14,53,95,148
5201,15,58,106,164
5202,16,57,228,285
5203,17,79,453,532
5204,18,97,488,585
5205,19,69,302,371
5206,20,34,258,292
5207,21,46,184,230
5208,22,28,127,155
5209,23,22,53,75
5210,0,19,18,37
5211,1,7,10,17
5212,2,1,10,11
5213,3,1,3,4
5214,4,1,4,5
5215,5,2,30,32
5216,6,9,110,119
5217,7,16,289,305
5218,8,38,361,399
5219,9,32,148,180
5220,10,41,72,113
5221,11,54,95,149
5222,12,74,166,240
5223,13,41,150,191
5224,14,62,116,178
5225,15,53,141,194
5226,16,76,206,282
5227,17,71,513,584
5228,18,70,489,559
5229,19,79,334,413
5230,20,59,253,312
5231,21,47,162,209
5232,22,17,122,139
5233,23,14,94,108
5234,0,6,40,46
5235,1,9,17,26
5236,2,3,8,11
5237,3,2,7,9
5238,4,1,4,5
5239,5,2,23,25
5240,6,5,101,106
5241,7,15,292,307
5242,8,29,361,390
5243,9,31,166,197
5244,10,36,96,132
5245,11,59,128,187
5246,12,50,164,214
5247,13,51,166,217
5248,14,39,103,142
5249,15,52,126,178
5250,16,57,241,298
5251,17,96,486,582
5252,18,74,497,571
5253,19,48,323,371
5254,20,56,232,288
5255,21,35,171,206
5256,22,34,123,157
5257,23,22,105,127
5258,0,12,53,65
5259,1,4,19,23
5260,2,0,15,15
5261,3,0,9,9
5262,4,0,5,5
5263,5,2,24,26
5264,6,3,73,76
5265,7,17,247,264
5266,8,29,397,426
5267,9,27,178,205
5268,10,44,86,130
5269,11,48,108,156
5270,12,55,167,222
5271,13,74,179,253
5272,14,51,135,186
5273,15,59,190,249
5274,16,68,266,334
5275,17,93,423,516
5276,18,89,376,465
5277,19,101,284,385
5278,20,77,210,287
5279,21,73,153,226
5280,22,74,157,231
5281,23,51,100,151
5282,0,15,69,84
5283,1,13,64,77
5284,2,16,58,74
5285,3,9,18,27
5286,4,5,5,10
5287,5,3,15,18
5288,6,3,19,22
5289,7,10,34,44
5290,8,28,90,118
5291,9,70,138,208
5292,10,97,163,260
5293,11,122,192,314
5294,12,175,246,421
5295,13,61,92,153
5296,14,113,146,259
5297,15,150,208,358
5298,16,148,133,281
5299,17,97,172,269
5300,18,123,169,292
5301,19,67,170,237
5302,20,78,105,183
5303,21,40,127,167
5304,22,36,118,154
5305,23,25,95,120
5306,0,19,71,90
5307,1,16,57,73
5308,2,13,49,62
5309,3,5,22,27
5310,4,1,2,3
5311,5,1,9,10
5312,6,2,4,6
5313,7,4,20,24
5314,8,20,21,41
5315,9,27,76,103
5316,10,67,116,183
5317,11,81,117,198
5318,12,98,183,281
5319,13,144,233,377
5320,14,126,244,370
5321,15,128,203,331
5322,16,116,176,292
5323,17,133,196,329
5324,18,125,222,347
5325,19,75,184,259
5326,20,67,126,193
5327,21,51,104,155
5328,22,14,25,39
5329,23,5,22,27
5330,0,7,18,25
5331,1,1,9,10
5332,2,0,3,3
5333,3,1,6,7
5334,4,1,4,5
5335,5,3,14,17
5336,6,3,87,90
5337,7,10,248,258
5338,8,29,326,355
5339,9,52,170,222
5340,10,54,87,141
5341,11,41,112,153
5342,12,62,116,178
5343,13,53,140,193
5344,14,56,95,151
5345,15,49,133,182
5346,16,58,225,283
5347,17,59,471,530
5348,18,70,413,483
5349,19,54,343,397
5350,20,45,240,285
5351,21,34,150,184
5352,22,22,76,98
5353,23,11,77,88
5354,0,8,23,31
5355,1,4,12,16
5356,2,1,3,4
5357,3,1,5,6
5358,4,0,5,5
5359,5,1,29,30
5360,6,4,115,119
5361,7,18,328,346
5362,8,24,417,441
5363,9,27,171,198
5364,10,28,83,111
5365,11,40,110,150
5366,12,42,120,162
5367,13,45,147,192
5368,14,65,117,182
5369,15,36,123,159
5370,16,55,248,303
5371,17,75,525,600
5372,18,54,516,570
5373,19,56,320,376
5374,20,48,232,280
5375,21,38,177,215
5376,22,31,121,152
5377,23,20,57,77
5378,0,8,16,24
5379,1,2,12,14
5380,2,0,6,6
5381,3,1,4,5
5382,4,0,5,5
5383,5,0,28,28
5384,6,4,101,105
5385,7,12,296,308
5386,8,35,452,487
5387,9,31,178,209
5388,10,27,91,118
5389,11,20,108,128
5390,12,26,163,189
5391,13,38,138,176
5392,14,54,138,192
5393,15,42,117,159
5394,16,62,238,300
5395,17,46,506,552
5396,18,86,470,556
5397,19,50,297,347
5398,20,37,243,280
5399,21,38,192,230
5400,22,29,142,171
5401,23,20,85,105
5402,0,18,38,56
5403,1,13,11,24
5404,2,2,4,6
5405,3,0,6,6
5406,4,0,9,9
5407,5,0,27,27
5408,6,6,97,103
5409,7,19,289,308
5410,8,27,393,420
5411,9,42,186,228
5412,10,37,92,129
5413,11,44,97,141
5414,12,34,139,173
5415,13,33,154,187
5416,14,67,115,182
5417,15,56,118,174
5418,16,49,196,245
5419,17,44,365,409
5420,18,48,226,274
5421,19,26,115,141
5422,20,24,141,165
5423,21,12,137,149
5424,22,18,117,135
5425,23,20,94,114
5426,0,9,53,62
5427,1,1,19,20
5428,2,0,8,8
5429,3,2,1,3
5430,4,1,7,8
5431,5,1,16,17
5432,6,2,91,93
5433,7,12,251,263
5434,8,30,368,398
5435,9,31,187,218
5436,10,57,108,165
5437,11,45,120,165
5438,12,54,168,222
5439,13,63,169,232
5440,14,78,142,220
5441,15,66,156,222
5442,16,66,261,327
5443,17,85,442,527
5444,18,88,337,425
5445,19,33,132,165
5446,20,12,46,58
5447,21,18,89,107
5448,22,25,97,122
5449,23,18,88,106
5450,0,21,107,128
5451,1,12,35,47
5452,2,10,59,69
5453,3,9,42,51
5454,4,1,6,7
5455,5,0,8,8
5456,6,6,18,24
5457,7,8,36,44
5458,8,27,106,133
5459,9,51,139,190
5460,10,114,192,306
5461,11,115,223,338
5462,12,156,253,409
5463,13,158,220,378
5464,14,147,228,375
5465,15,175,215,390
5466,16,151,222,373
5467,17,180,203,383
5468,18,169,225,394
5469,19,109,182,291
5470,20,78,170,248
5471,21,81,144,225
5472,22,77,146,223
5473,23,59,98,157
5474,0,6,68,74
5475,1,17,69,86
5476,2,13,51,64
5477,3,25,26,51
5478,4,1,5,6
5479,5,0,8,8
5480,6,4,10,14
5481,7,12,19,31
5482,8,30,62,92
5483,9,80,151,231
5484,10,97,177,274
5485,11,132,181,313
5486,12,135,239,374
5487,13,94,216,310
5488,14,78,157,235
5489,15,17,51,68
5490,16,97,161,258
5491,17,91,179,270
5492,18,96,215,311
5493,19,81,201,282
5494,20,41,140,181
5495,21,45,93,138
5496,22,37,97,134
5497,23,20,48,68
5498,0,18,22,40
5499,1,8,13,21
5500,2,2,6,8
5501,3,0,5,5
5502,4,2,10,12
5503,5,1,23,24
5504,6,6,106,112
5505,7,11,270,281
5506,8,20,331,351
5507,9,36,151,187
5508,10,36,85,121
5509,11,46,85,131
5510,12,54,153,207
5511,13,47,158,205
5512,14,88,137,225
5513,15,72,127,199
5514,16,66,254,320
5515,17,82,509,591
5516,18,72,537,609
5517,19,66,350,416
5518,20,21,247,268
5519,21,28,180,208
5520,22,32,121,153
5521,23,19,45,64
5522,0,13,22,35
5523,1,6,13,19
5524,2,2,4,6
5525,3,2,4,6
5526,4,0,5,5
5527,5,1,35,36
5528,6,3,111,114
5529,7,11,333,344
5530,8,43,461,504
5531,9,34,191,225
5532,10,56,92,148
5533,11,62,124,186
5534,12,60,177,237
5535,13,70,164,234
5536,14,149,502,651
5537,15,178,423,601
5538,16,133,311,444
5539,17,133,339,472
5540,18,98,421,519
5541,19,70,297,367
5542,20,54,206,260
5543,21,38,173,211
5544,22,46,145,191
5545,23,19,61,80
5546,0,9,29,38
5547,1,7,17,24
5548,2,2,4,6
5549,3,0,1,1
5550,4,0,7,7
5551,5,1,26,27
5552,6,3,105,108
5553,7,11,297,308
5554,8,32,436,468
5555,9,44,169,213
5556,10,51,95,146
5557,11,57,128,185
5558,12,60,175,235
5559,13,56,180,236
5560,14,77,127,204
5561,15,63,141,204
5562,16,49,222,271
5563,17,83,484,567
5564,18,102,519,621
5565,19,93,347,440
5566,20,45,289,334
5567,21,47,189,236
5568,22,41,140,181
5569,23,16,54,70
5570,0,11,41,52
5571,1,4,11,15
5572,2,3,2,5
5573,3,2,2,4
5574,4,1,6,7
5575,5,1,25,26
5576,6,1,101,102
5577,7,17,296,313
5578,8,23,461,484
5579,9,21,141,162
5580,10,37,105,142
5581,11,39,112,151
5582,12,9,32,41
5583,13,7,30,37
5584,14,27,86,113
5585,15,28,104,132
5586,16,16,105,121
5587,17,28,284,312
5588,18,31,377,408
5589,19,31,241,272
5590,20,33,192,225
5591,21,29,158,187
5592,22,21,126,147
5593,23,15,69,84
5594,0,9,42,51
5595,1,10,13,23
5596,2,4,16,20
5597,3,3,8,11
5598,4,2,6,8
5599,5,3,23,26
5600,6,5,100,105
5601,7,3,263,266
5602,8,17,387,404
5603,9,39,191,230
5604,10,34,89,123
5605,11,63,151,214
5606,12,70,173,243
5607,13,72,165,237
5608,14,55,164,219
5609,15,53,196,249
5610,16,50,293,343
5611,17,56,433,489
5612,18,40,370,410
5613,19,55,235,290
5614,20,39,183,222
5615,21,38,152,190
5616,22,26,126,152
5617,23,22,114,136
5618,0,33,112,145
5619,1,13,51,64
5620,2,18,59,77
5621,3,8,22,30
5622,4,1,3,4
5623,5,1,11,12
5624,6,3,15,18
5625,7,2,26,28
5626,8,14,62,76
5627,9,28,128,156
5628,10,51,154,205
5629,11,15,73,88
5630,12,11,65,76
5631,13,10,33,43
5632,14,4,19,23
5633,15,2,28,30
5634,16,10,14,24
5635,17,2,14,16
5636,7,0,1,1
5637,8,2,6,8
5638,9,7,46,53
5639,10,27,115,142
5640,11,59,178,237
5641,12,88,218,306
5642,13,129,302,431
5643,14,157,290,447
5644,15,155,314,469
5645,16,196,295,491
5646,17,145,253,398
5647,18,145,257,402
5648,19,140,247,387
5649,20,64,150,214
5650,21,60,126,186
5651,22,25,73,98
5652,23,16,48,64
5653,0,13,21,34
5654,1,5,15,20
5655,2,8,5,13
5656,3,1,5,6
5657,4,0,3,3
5658,5,0,17,17
5659,6,3,99,102
5660,7,11,273,284
5661,8,20,384,404
5662,9,22,166,188
5663,10,42,73,115
5664,11,38,100,138
5665,12,48,159,207
5666,13,48,170,218
5667,14,55,127,182
5668,15,56,164,220
5669,16,56,226,282
5670,17,67,524,591
5671,18,60,487,547
5672,19,50,317,367
5673,20,50,227,277
5674,21,34,168,202
5675,22,23,119,142
5676,23,19,56,75
5677,0,10,17,27
5678,1,6,7,13
5679,2,2,8,10
5680,3,2,2,4
5681,4,0,6,6
5682,5,1,27,28
5683,6,4,115,119
5684,7,19,338,357
5685,8,34,459,493
5686,9,38,180,218
5687,10,28,109,137
5688,11,60,115,175
5689,12,65,172,237
5690,13,59,170,229
5691,14,58,151,209
5692,15,34,162,196
5693,16,42,295,337
5694,17,62,549,611
5695,18,60,516,576
5696,19,68,397,465
5697,20,39,259,298
5698,21,43,180,223
5699,22,22,121,143
5700,23,19,74,93
5701,0,8,24,32
5702,1,2,13,15
5703,2,1,5,6
5704,3,2,4,6
5705,4,0,5,5
5706,5,2,25,27
5707,6,4,107,111
5708,7,12,316,328
5709,8,27,440,467
5710,9,27,217,244
5711,10,33,105,138
5712,11,28,143,171
5713,12,68,192,260
5714,13,39,182,221
5715,14,48,148,196
5716,15,34,138,172
5717,16,46,263,309
5718,17,83,525,608
5719,18,70,495,565
5720,19,53,393,446
5721,20,30,259,289
5722,21,27,174,201
5723,22,20,137,157
5724,23,24,60,84
5725,0,18,33,51
5726,1,7,14,21
5727,2,14,11,25
5728,3,7,7,14
5729,4,0,7,7
5730,5,1,22,23
5731,6,2,103,105
5732,7,7,335,342
5733,8,31,467,498
5734,9,29,178,207
5735,10,46,92,138
5736,11,51,141,192
5737,12,64,165,229
5738,13,50,169,219
5739,14,54,144,198
5740,15,39,135,174
5741,16,55,253,308
5742,17,61,567,628
5743,18,69,462,531
5744,19,79,364,443
5745,20,33,247,280
5746,21,17,160,177
5747,22,34,145,179
5748,23,15,111,126
5749,0,6,58,64
5750,1,4,28,32
5751,2,9,11,20
5752,3,4,4,8
5753,4,2,2,4
5754,5,0,20,20
5755,6,3,73,76
5756,7,6,253,259
5757,8,22,434,456
5758,9,30,190,220
5759,10,34,106,140
5760,11,51,141,192
5761,12,82,178,260
5762,13,72,207,279
5763,14,75,208,283
5764,15,69,277,346
5765,16,82,299,381
5766,17,78,377,455
5767,18,50,305,355
5768,19,67,220,287
5769,20,38,158,196
5770,21,28,121,149
5771,22,33,114,147
5772,23,30,68,98
5773,0,22,65,87
5774,1,17,57,74
5775,2,15,26,41
5776,3,17,18,35
5777,4,3,4,7
5778,5,3,9,12
5779,6,4,19,23
5780,7,5,33,38
5781,8,24,65,89
5782,9,83,118,201
5783,10,90,168,258
5784,11,66,128,194
5785,12,97,160,257
5786,13,153,200,353
5787,14,204,176,380
5788,15,187,201,388
5789,16,186,188,374
5790,17,170,201,371
5791,18,160,179,339
5792,19,147,148,295
5793,20,99,120,219
5794,21,71,93,164
5795,22,66,96,162
5796,23,46,77,123
5797,0,33,76,109
5798,1,37,38,75
5799,2,17,43,60
5800,3,20,23,43
5801,4,0,4,4
5802,5,1,5,6
5803,6,0,3,3
5804,7,10,20,30
5805,8,21,49,70
5806,9,87,102,189
5807,10,150,147,297
5808,11,174,163,337
5809,12,214,221,435
5810,13,245,174,419
5811,14,205,156,361
5812,15,218,192,410
5813,16,196,141,337
5814,17,204,172,376
5815,18,187,169,356
5816,19,178,150,328
5817,20,104,125,229
5818,21,104,103,207
5819,22,70,85,155
5820,23,46,58,104
5821,0,31,66,97
5822,1,19,35,54
5823,2,17,22,39
5824,3,4,12,16
5825,4,3,5,8
5826,5,2,4,6
5827,6,6,5,11
5828,7,11,30,41
5829,8,45,56,101
5830,9,63,89,152
5831,10,107,137,244
5832,11,101,207,308
5833,12,141,212,353
5834,13,154,235,389
5835,14,145,212,357
5836,15,111,142,253
5837,16,92,192,284
5838,17,37,77,114
5839,18,31,92,123
5840,19,52,123,175
5841,20,26,56,82
5842,21,20,40,60
5843,22,15,49,64
5844,23,3,17,20
5845,0,1,7,8
5846,2,0,2,2
5847,3,1,0,1
5848,4,1,3,4
5849,5,1,20,21
5850,6,0,72,72
5851,7,6,166,172
5852,8,15,349,364
5853,9,18,167,185
5854,10,16,90,106
5855,11,11,78,89
5856,12,16,51,67
5857,13,5,24,29
5858,14,3,21,24
5859,15,18,71,89
5860,16,11,95,106
5861,17,15,276,291
5862,18,22,351,373
5863,19,12,269,281
5864,20,13,150,163
5865,21,12,109,121
5866,22,5,79,84
5867,23,2,56,58
5868,0,1,12,13
5869,1,2,3,5
5870,2,2,4,6
5871,3,1,1,2
5872,4,0,4,4
5873,5,1,15,16
5874,6,1,74,75
5875,7,3,83,86
5876,8,9,319,328
5877,9,14,176,190
5878,10,3,63,66
5879,11,1,9,10
5880,12,1,21,22
5881,13,2,9,11
5882,14,1,24,25
5883,15,3,55,58
5884,16,7,137,144
5885,17,21,264,285
5886,18,18,219,237
5887,19,14,212,226
5888,20,3,93,96
5889,21,4,34,38
5890,22,3,26,29
5891,23,3,21,24
5892,0,3,11,14
5893,1,0,4,4
5894,3,0,2,2
5895,4,0,3,3
5896,5,1,13,14
5897,6,1,55,56
5898,7,7,172,179
5899,8,7,188,195
5900,9,4,65,69
5901,10,8,57,65
5902,11,16,82,98
5903,12,17,85,102
5904,13,14,112,126
5905,14,15,105,120
5906,15,24,115,139
5907,16,5,151,156
5908,17,11,102,113
5909,18,2,66,68
5910,19,1,51,52
5911,20,6,83,89
5912,21,6,76,82
5913,22,5,65,70
5914,23,0,26,26
5915,0,1,15,16
5916,1,0,8,8
5917,2,1,7,8
5918,3,1,1,2
5919,4,0,3,3
5920,5,0,14,14
5921,6,3,54,57
5922,7,4,104,108
5923,8,12,276,288
5924,9,5,131,136
5925,10,2,27,29
5926,11,6,66,72
5927,12,4,71,75
5928,13,14,108,122
5929,14,29,119,148
5930,15,27,161,188
5931,16,41,244,285
5932,17,54,451,505
5933,18,33,377,410
5934,19,33,316,349
5935,20,30,180,210
5936,21,49,154,203
5937,22,33,127,160
5938,23,35,113,148
5939,0,32,84,116
5940,1,16,67,83
5941,2,18,46,64
5942,3,8,29,37
5943,4,3,4,7
5944,5,2,6,8
5945,6,0,6,6
5946,7,9,43,52
5947,8,16,103,119
5948,9,39,168,207
5949,10,85,233,318
5950,11,108,252,360
5951,12,144,260,404
5952,13,131,239,370
5953,14,129,230,359
5954,15,217,263,480
5955,16,170,261,431
5956,17,185,275,460
5957,18,119,241,360
5958,19,101,214,315
5959,20,78,167,245
5960,21,59,171,230
5961,22,49,126,175
5962,23,32,107,139
5963,0,29,79,108
5964,1,22,66,88
5965,2,16,60,76
5966,3,15,30,45
5967,4,3,6,9
5968,5,15,24,39
5969,6,4,16,20
5970,7,9,28,37
5971,8,25,69,94
5972,9,59,168,227
5973,10,120,214,334
5974,11,144,258,402
5975,12,113,298,411
5976,13,119,231,350
5977,14,120,222,342
5978,15,134,270,404
5979,16,180,303,483
5980,17,152,228,380
5981,18,110,229,339
5982,19,101,232,333
5983,20,65,161,226
5984,21,45,114,159
5985,22,21,74,95
5986,23,12,33,45
5987,0,5,11,16
5988,1,1,11,12
5989,2,2,0,2
5990,4,0,4,4
5991,5,1,23,24
5992,6,1,108,109
5993,7,12,300,312
5994,8,26,382,408
5995,9,21,155,176
5996,10,40,89,129
5997,11,34,131,165
5998,12,37,147,184
5999,13,43,120,163
6000,14,60,129,189
6001,15,60,152,212
6002,16,60,238,298
6003,17,75,515,590
6004,18,56,515,571
6005,19,63,373,436
6006,20,41,258,299
6007,21,29,166,195
6008,22,16,134,150
6009,23,7,62,69
6010,0,7,19,26
6011,1,4,6,10
6012,2,2,0,2
6013,3,2,2,4
6014,4,2,6,8
6015,5,1,19,20
6016,6,6,116,122
6017,7,14,348,362
6018,8,26,399,425
6019,9,35,179,214
6020,10,42,93,135
6021,11,33,120,153
6022,12,43,144,187
6023,13,48,136,184
6024,14,51,139,190
6025,15,35,145,180
6026,16,41,251,292
6027,17,72,507,579
6028,18,67,472,539
6029,19,55,341,396
6030,20,31,241,272
6031,21,45,200,245
6032,22,24,120,144
6033,23,15,59,74
6034,0,5,28,33
6035,1,1,7,8
6036,2,1,4,5
6037,3,1,7,8
6038,4,1,8,9
6039,5,1,30,31
6040,6,7,138,145
6041,7,20,350,370
6042,8,33,396,429
6043,9,19,183,202
6044,10,27,115,142
6045,11,43,121,164
6046,12,56,156,212
6047,13,39,139,178
6048,14,19,105,124
6049,15,30,146,176
6050,16,36,241,277
6051,17,87,512,599
6052,18,83,503,586
6053,19,44,337,381
6054,20,40,221,261
6055,21,24,189,213
6056,22,20,140,160
6057,23,10,62,72
6058,0,3,34,37
6059,1,0,20,20
6060,2,0,5,5
6061,3,3,5,8
6062,4,2,5,7
6063,5,1,30,31
6064,6,5,119,124
6065,7,17,321,338
6066,8,27,364,391
6067,9,23,186,209
6068,10,25,96,121
6069,11,39,120,159
6070,12,31,148,179
6071,13,38,151,189
6072,14,36,134,170
6073,15,25,110,135
6074,16,29,193,222
6075,17,31,230,261
6076,18,22,222,244
